industry,total_funding,country,region,city,funding_rounds,company_age
3824,-0.057876276449283885,122,788,3379,3.5417795025206527,-0.6057251999109665
23072,-0.08685694339446719,122,741,3060,-0.5818800097797329,-0.12053128392094872
9423,-0.04755993953282408,122,152,3639,0.10539657560366476,-0.31460885031695585
23072,-0.06587126247803451,122,788,920,0.10539657560366476,0.8498565480590868
20757,0.129362033657357,122,428,1751,0.7926731609870624,0.4617014152670726
716,-0.08006752317303521,122,663,2655,1.4799497463704598,-0.31460885031695585
14289,-0.06309397261945524,122,663,2655,0.10539657560366476,-0.508686416712963
6609,-0.08608177336918559,19,1024,4360,-0.5818800097797329,-0.508686416712963
20324,-0.08610850337005736,122,177,4111,-0.5818800097797329,-0.6057251999109665
5263,0.08605943224507424,122,194,734,2.854502917137255,-0.21757006711895227
16027,-0.06138325256366135,122,788,536,1.4799497463704598,-0.12053128392094872
2576,-0.07752817309021616,57,934,3909,0.10539657560366476,-0.4116476335149594
18075,-0.006960970788718337,122,663,2655,0.10539657560366476,-0.21757006711895227
21329,-0.0700437728461179,122,757,1060,0.10539657560366476,-0.6057251999109665
9733,-0.08180497322970087,39,537,2178,0.10539657560366476,-0.21757006711895227
18952,0.15234983440708733,122,788,3379,1.4799497463704598,-0.02349250072294517
14408,-0.08656291338487762,122,788,3379,-0.5818800097797329,-0.508686416712963
20892,-0.0778489331006775,122,788,3379,1.4799497463704598,-0.21757006711895227
9223,0.5276390466468712,122,788,3382,4.22905608790405,0.17058506567306195
12732,-0.08661637338662118,122,788,3379,-0.5818800097797329,-0.02349250072294517
18659,-0.08714295440379523,9,248,1002,-0.5818800097797329,-0.21757006711895227
23072,-0.07645897305534498,122,983,1475,0.10539657560366476,0.36466263206906907
22434,-0.07645897305534498,122,663,2655,-0.5818800097797329,-0.508686416712963
21566,-0.08648272338226227,122,210,831,-0.5818800097797329,-0.31460885031695585
21492,0.08926703234968777,122,663,2655,0.7926731609870624,0.6557789816630797
2265,-0.08699059339882609,122,746,3089,0.10539657560366476,-0.21757006711895227
422,-0.08501073431025442,39,537,2178,0.7926731609870624,-0.508686416712963
19153,-0.08132020862589062,39,537,2178,0.7926731609870624,-0.508686416712963
20820,-0.08394337329944324,122,788,2546,-0.5818800097797329,-0.21757006711895227
20322,-0.08701732339969787,122,604,2445,-0.5818800097797329,-0.508686416712963
15644,-0.08661637338662118,51,445,1794,-0.5818800097797329,-0.31460885031695585
3268,-0.06576697270663319,122,809,3378,0.10539657560366476,-0.508686416712963
22045,-0.07645897305534498,37,291,2084,-0.5818800097797329,1.043934114455094
18257,-0.08251064525271586,122,788,3379,0.7926731609870624,-0.31460885031695585
12732,-0.08648272338226227,122,664,3084,-0.5818800097797329,-0.4116476335149594
