industry,total_funding,status,country,region,city,funding_rounds,company_age
23072,-0.0856808233561089,3,122,234,3008,-0.5818800097797329,-0.02349250072294517
14764,-0.08697211227622334,3,38,716,2909,-0.5818800097797329,-0.21757006711895227
12732,-0.08198284534750204,3,8,133,276,0.10539657560366476,-0.31460885031695585
20469,-0.06576697270663319,0,122,244,988,-0.5818800097797329,-0.31460885031695585
4172,-0.08554717335175,3,122,827,1931,0.10539657560366476,-0.4116476335149594
19559,-0.07645897305534498,3,122,194,2165,-0.5818800097797329,-0.70276398310897
23072,0.3672590414161943,0,122,177,649,-0.5818800097797329,0.9468953312570904
10026,0.11409610247946977,3,122,827,3482,1.4799497463704598,-0.21757006711895227
20817,-0.08704405340056964,3,122,788,3425,-0.5818800097797329,0.36466263206906907
1765,-0.08711889740301063,3,122,797,1134,-0.5818800097797329,-0.508686416712963
22815,-0.07021985939986083,1,53,419,219,-0.5818800097797329,0.8498565480590868
13402,-0.0748551730030382,3,122,788,1043,-0.5818800097797329,-0.21757006711895227
19864,-0.07645897305534498,3,122,788,3379,-0.5818800097797329,-0.31460885031695585
5442,-0.08554717335175,3,4,892,3771,0.10539657560366476,0.36466263206906907
15980,0.42539679331231467,2,122,558,1724,2.854502917137255,-0.02349250072294517
15679,-0.0867232933901083,3,18,963,4006,-0.5818800097797329,-0.4116476335149594
20405,-0.07645897305534498,0,122,39,1767,-0.5818800097797329,2.30543829602914
16700,-0.07645897305534498,3,122,514,2049,-0.5818800097797329,-0.4116476335149594
23072,-0.07645897305534498,1,39,537,2178,-0.5818800097797329,-0.70276398310897
7337,0.5996901221787645,3,122,788,2384,3.5417795025206527,0.07354628247505839
4508,-0.08701732339969787,3,122,664,790,-0.5818800097797329,-0.508686416712963
23237,-0.07645897305534498,3,122,244,988,-0.5818800097797329,-0.508686416712963
23072,-0.07645897305534498,1,122,788,3379,-0.5818800097797329,-0.70276398310897
18122,-0.08447797331687881,3,122,194,734,-0.5818800097797329,-0.508686416712963
15879,-0.07499034127144662,3,39,537,2178,-0.5818800097797329,-0.4116476335149594
18070,-0.07645897305534498,3,122,788,3379,-0.5818800097797329,-0.6057251999109665
17491,-0.07645897305534498,3,122,728,2970,-0.5818800097797329,-0.21757006711895227
649,0.04999830882896701,3,122,663,2655,2.1672263317538576,0.07354628247505839
20406,-0.08704405340056964,3,52,464,1862,-0.5818800097797329,-0.70276398310897
13309,-0.07645897305534498,3,27,744,3074,-0.5818800097797329,0.07354628247505839
11479,0.008007829699478169,3,122,734,2996,-0.5818800097797329,0.9468953312570904
7493,-0.06042097253227729,3,21,835,3510,-0.5818800097797329,0.7528177648610833
7374,-0.08180497322970087,3,122,48,164,0.10539657560366476,0.2676238488710655
23072,-0.046254072070234166,3,18,930,4204,-0.5818800097797329,-0.02349250072294517
10729,-0.07889717681486522,3,38,716,2909,-0.5818800097797329,-0.21757006711895227
20718,0.035807030606128824,3,122,788,3379,0.7926731609870624,0.17058506567306195
18122,-0.07645897305534498,0,28,314,1309,-0.5818800097797329,0.7528177648610833
13827,-0.0016149706143624416,3,122,788,1149,-0.5818800097797329,-0.4116476335149594
17287,-0.07645897305534498,3,4,892,3771,-0.5818800097797329,-0.508686416712963
22471,-0.07645897305534498,3,122,247,3922,0.7926731609870624,-0.12053128392094872
5342,-0.0838940350638341,3,35,788,3379,1.4799497463704598,-0.31460885031695585
3625,-0.05133277223587227,3,39,537,2178,0.10539657560366476,-0.02349250072294517
7722,-0.07873649743362478,3,21,79,272,0.7926731609870624,0.8498565480590868
7537,-0.08434432331251993,3,122,788,3745,0.10539657560366476,-0.6057251999109665
21566,-0.0784394041659353,3,21,788,3379,-0.5818800097797329,-0.508686416712963
22556,-0.07645897305534498,3,122,194,734,-0.5818800097797329,0.8498565480590868
21566,-0.07859737312508734,3,122,114,3134,-0.5818800097797329,-0.21757006711895227
22088,-0.07795808238623733,3,19,339,1373,0.10539657560366476,-0.31460885031695585
8519,-0.055074972357921394,3,122,712,389,-0.5818800097797329,0.2676238488710655
9532,-0.08675002339098008,3,15,223,922,-0.5818800097797329,-0.508686416712963
7337,-0.08643664086075933,3,57,109,403,-0.5818800097797329,-0.02349250072294517
6382,-0.08696386339795431,3,122,663,2655,-0.5818800097797329,-0.70276398310897
11362,-0.08447797331687881,1,122,114,4172,0.10539657560366476,-0.21757006711895227
13694,-0.0373733500405959,3,122,983,3245,1.4799497463704598,0.2676238488710655
16808,-0.048183978133176646,0,122,788,3392,0.7926731609870624,-0.21757006711895227
112,-0.08314147327328984,3,122,975,3104,-0.5818800097797329,-0.4116476335149594
7337,-0.07931908314862537,3,122,247,107,0.10539657560366476,-0.21757006711895227
92,-0.07645897305534498,3,122,788,3379,-0.5818800097797329,-0.508686416712963
87,-0.08447797331687881,3,122,114,3134,0.10539657560366476,-0.508686416712963
18726,-0.08446193531635575,1,122,692,2188,0.10539657560366476,-0.31460885031695585
22461,-0.0852798733430322,3,122,663,2655,-0.5818800097797329,-0.508686416712963
27,-0.06309397261945524,3,85,38,92,0.10539657560366476,-0.508686416712963
161,-0.08073577319482969,3,39,537,2178,0.10539657560366476,-0.4116476335149594
48,-0.0871108784027491,3,122,184,701,-0.5818800097797329,-0.6057251999109665
